UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
11835611,747612,7476,Marinello School of Beauty-El Cajon,El Cajon,CA,http://www.marinello.com,NULL,NULL
11835612,747613,7476,Marinello Schools of Beauty-Victorville,Victorville,CA,http://www.marinello.com,NULL,NULL
11835613,747614,7476,Marinello Schools of Beauty-Anaheim,Anaheim,CA,http://www.marinello.com,NULL,NULL
11835614,747615,7476,Marinello Schools of Beauty,Simi Valley,CA,http://www.marinello.com,NULL,NULL
11835615,747610,7476,Marinello Schools of Beauty-Lomita,Lomita,CA,http://www.marinello.com,NULL,NULL
118541,1047400,10474,Marymount California University,Rancho Palos Verdes,CA,www.MarymountCalifornia.edu,www.MarymountCalifornia.edu/financial-aid,21
118684,1167200,11672,Mendocino College,Ukiah,CA,www.mendocino.edu,www.mendocino.edu/tc/pg/6154/net_price_calculator.html,41
118693,123600,1236,Menlo College,Atherton,CA,www.menlo.edu,tcc.noellevitz.com/(S(m0yg55vomw1vh010jkmaqqh0))/Menlo%20College/Freshman%20Students,21
118718,123700,1237,Merced College,Merced,CA,www.mccd.edu,webprod.cccco.edu/npc/531/npcalc.htm,13
118772,126700,1267,Merritt College,Oakland,CA,www.merritt.edu,webprod.cccco.edu/npc/344/npcalc.htm,11
118888,123800,1238,Mills College,Oakland,CA,www.mills.edu,npc.collegeboard.org/student/app/mills,11
118912,123900,1239,MiraCosta College,Oceanside,CA,www.miracosta.edu,www.finaid.org/,21
118921,2338700,23387,Marinello Schools of Beauty-San Francisco,San Francisco,CA,www.marinello.com,www.marinello.com,11
11892101,2338701,23387,Marinello School of Beauty-Chico,Chico,CA,http://www.marinello.com,NULL,NULL
11892102,2338702,23387,Marinello School of Beauty,Redding,CA,http://www.marinello.com,NULL,NULL
11892103,2338703,23387,Marinello School of Beauty-Fresno,Fresno,CA,http://www.marinello.com,NULL,NULL
118930,2119100,21191,Mission College,Santa Clara,CA,www.missioncollege.edu/,webprod.cccco.edu/npc/492/npcalc.htm,12
118958,720400,7204,Modern Beauty Academy,Oxnard,CA,www.modernbeautyacademy.org,www.modernbeautyacademy.org,12
118967,2539100,25391,Kaplan College-North Hollywood,North Hollywood,CA,www.kaplancollege.com/north-hollywood-ca/,www.kaplancollege.com/north-hollywood-ca/tuition-fees/,11
118976,124000,1240,Modesto Junior College,Modesto,CA,mjc.edu,webprod.cccco.edu/npc/592/npcalc.htm,12
118994,2185800,21858,Moler Barber College,Oakland,CA,moler.org/Home_Page.html,moler.org/Net_Price_Calculator.html,11
119058,369110,3691,Monterey Institute of International Studies,Monterey,CA,www.miis.edu,www.miis.edu/admissions/financialaid,22
119067,124200,1242,Monterey Peninsula College,Monterey,CA,www.mpc.edu,www.mpc.edu,22
119137,711500,7115,Moorpark College,Moorpark,CA,www.moorparkcollege.edu/index.shtml,www.moorparkcollege.edu/services_for_students/financial_aid/index.shtml,22
119164,124500,1245,Mt San Antonio College,Walnut,CA,www.mtsac.edu,www.mtsac.edu/students/finaid/NetPriceCalculator/index.html,21
119173,124300,1243,Mount St Mary's College,Los Angeles,CA,www.msmc.la.edu,www.msmc.la.edu/calculator,11
11917301,124301,1243,Mount St. Mary's College - Doheny Campus,Los Angeles,CA,http://www.msmc.la.edu,NULL,NULL
119216,124600,1246,Mt San Jacinto Community College District,San Jacinto,CA,www.msjc.edu,www.msjc.edu/StudentServices/FinancialAid/Pages/default.aspx,22
